Short Code, Account Type, Available Balance, Currency, Date
100217,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100218,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100221,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100250,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100232,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100237,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100243,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100204,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100247,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100224,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100213,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100202,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100248,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100246,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100238,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100236,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100242,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100230,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100225,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100208,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100216,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100201,Organization eMoney Account (working Account),0.00,SSP,2019-06-28 03:00:03
100300,Commission Account,0.00,SSP,2019-06-28 03:00:03
100235,Commission Account,0.00,SSP,2019-06-28 03:00:03
100228,Commission Account,0.00,SSP,2019-06-28 03:00:03
100251,Commission Account,0.00,SSP,2019-06-28 03:00:03
100223,Commission Account,0.00,SSP,2019-06-28 03:00:03
100210,Commission Account,0.00,SSP,2019-06-28 03:00:03
100215,Commission Account,0.00,SSP,2019-06-28 03:00:03
100200,Commission Account,0.00,SSP,2019-06-28 03:00:03
100233,Commission Account,0.00,SSP,2019-06-28 03:00:03
100231,Commission Account,0.00,SSP,2019-06-28 03:00:03
100244,Commission Account,0.00,SSP,2019-06-28 03:00:03
100240,Commission Account,0.00,SSP,2019-06-28 03:00:03
100229,Commission Account,0.00,SSP,2019-06-28 03:00:03
100252,Commission Account,0.00,SSP,2019-06-28 03:00:03
100227,Commission Account,0.00,SSP,2019-06-28 03:00:03
100249,Commission Account,0.00,SSP,2019-06-28 03:00:03
100239,Commission Account,0.00,SSP,2019-06-28 03:00:03
100241,Commission Account,0.00,SSP,2019-06-28 03:00:03
100253,Commission Account,0.00,SSP,2019-06-28 03:00:03
100222,Commission Account,0.00,SSP,2019-06-28 03:00:03
100219,Commission Account,0.00,SSP,2019-06-28 03:00:03
100206,Commission Account,0.00,SSP,2019-06-28 03:00:03
123456,Commission Account,0.00,SSP,2019-06-28 03:00:03
100220,Commission Account,0.00,SSP,2019-06-28 03:00:03
100214,Commission Account,0.00,SSP,2019-06-28 03:00:03
100209,Commission Account,0.00,SSP,2019-06-28 03:00:03
100207,Commission Account,0.00,SSP,2019-06-28 03:00:03
100245,Commission Account,0.00,SSP,2019-06-28 03:00:03
100226,Commission Account,0.00,SSP,2019-06-28 03:00:03
100212,Commission Account,0.00,SSP,2019-06-28 03:00:03
100211,Commission Account,0.00,SSP,2019-06-28 03:00:03
100205,Commission Account,0.00,SSP,2019-06-28 03:00:03
123457,Commission Account,0.00,SSP,2019-06-28 03:00:03
100217,Commission Account,0.00,SSP,2019-06-28 03:00:03
100218,Commission Account,0.00,SSP,2019-06-28 03:00:03
100221,Commission Account,0.00,SSP,2019-06-28 03:00:03
100250,Commission Account,0.00,SSP,2019-06-28 03:00:03
100232,Commission Account,0.00,SSP,2019-06-28 03:00:03
100237,Commission Account,0.00,SSP,2019-06-28 03:00:03
100243,Commission Account,0.00,SSP,2019-06-28 03:00:03
100204,Commission Account,0.00,SSP,2019-06-28 03:00:03
100247,Commission Account,0.00,SSP,2019-06-28 03:00:03
100224,Commission Account,0.00,SSP,2019-06-28 03:00:03
100213,Commission Account,0.00,SSP,2019-06-28 03:00:03
100202,Commission Account,120.00,SSP,2019-06-28 03:00:03
100248,Commission Account,0.00,SSP,2019-06-28 03:00:03
100246,Commission Account,0.00,SSP,2019-06-28 03:00:03
100238,Commission Account,0.00,SSP,2019-06-28 03:00:03
100236,Commission Account,0.00,SSP,2019-06-28 03:00:03
100242,Commission Account,0.00,SSP,2019-06-28 03:00:03
100230,Commission Account,0.00,SSP,2019-06-28 03:00:03
100225,Commission Account,0.00,SSP,2019-06-28 03:00:03
100208,Commission Account,0.00,SSP,2019-06-28 03:00:03
100216,Commission Account,0.00,SSP,2019-06-28 03:00:03
100201,Commission Account,0.00,SSP,2019-06-28 03:00:03
100300,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100235,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100228,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100251,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100223,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100210,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100215,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
100200,Organization eMoney Account (Float Account),200000.00,SSP,2019-06-28 03:00:03
100233,Organization eMoney Account (Float Account),0.00,SSP,2019-06-28 03:00:03
